CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT087,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,Fibroblast,Fibroblast,CAF,"COL16A1, COL5A2, GREM1, LUM, SRPX, TIMP3",35874760,Integrative Analysis From Multicenter Studies Identifies a WGCNA-Derived Cancer-Associated Fibroblast Signature for Ovarian Cancer,Frontiers in immunology,2022,single cell transcriptome,BioRad droplet digital SEQ Single-cell Isolator,clinical phenotype,Survival,poorer OS,,clinical samples,survival analysis,analysis,clinical data,"In the GPL570 meta-cohort, the results showed that higher CAF infiltration and stromal score were significantly associated with poorer overall survival (OS) in OC patients (Figure 2C)."
CT088,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,Fibroblast,Fibroblast,CAF,"COL16A1, COL5A2, GREM1, LUM, SRPX, TIMP3",35874760,Integrative Analysis From Multicenter Studies Identifies a WGCNA-Derived Cancer-Associated Fibroblast Signature for Ovarian Cancer,Frontiers in immunology,2022,single cell transcriptome,BioRad droplet digital SEQ Single-cell Isolator,biological phenotype,Others,recruitment,,clinical samples,Immunofluorescence staining,Servicebio,protein,"Interestingly, there was a recruitment of Treg cells (green) around the CAF cells (pink) in patients with primary tumors (Figure 2A), especially in the recurrent samples, where a larger number of Treg cells clustered to the prominent part of the CAF cells (Figure 2B). CD8+ cells (red) were rarely seen around CAF cells in both samples."
CT089,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,B cell,B cell,CD20+ B cells,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities."
CT090,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,T cell,T cell,CD4+ TCM,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities."
CT091,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Macrophage,Macrophage,MMP9+ macrophages,"MMP9,SPP117,ITGAM,CD45,CD68",35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,angiogenesis,,cell line,co-culture,"China Center for Type Culture Collection (CCTCC; Wuhan city, China), Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis."
CT092,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Macrophage,Macrophage,MMP9+ macrophages,"MMP9,SPP117,ITGAM,CD45,CD68",35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Invasion,invasion,,cell line,co-culture,"China Center for Type Culture Collection (CCTCC; Wuhan city, China), Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis."
CT093,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Macrophage,Macrophages,MMP9+ macrophages,"MMP9,SPP117,ITGAM,CD45,CD68",35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Metastasis,migration,,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis."
CT094,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Macrophage,Macrophage,MMP9+ macrophages,"MMP9,SPP117,ITGAM,CD45,CD68",35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,We further examined the clinical relevance of these two subtypes of TAMs in two additional HCC cohorts and found that higher abundance of MMP9+ TAMs in tumors is strongly associated with worse overall survival.
CT095,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,Cancer cell,Cancer cell,lineage A1 cells,"CCN1, HSP90AA1",35969151,Single-Cell Dissection of the Multiomic Landscape of High-Grade Serous Ovarian Cancer,Cancer research,2022,single cell transcriptome,Smart-seq2,biological phenotype,Tumor Metastasis,migration,,cell line SKOV3 and ES2,Transwell Assays,"transwell chambers (Coring,#3422)",protein,We knocked out CCN1 using the CRISPR-Cas9 system in ovarian cancer cell line SKOV3 and ES2 (Fig. 7B; Supplementary Fig. S7B). Results showed that knockout of CCN1 significantly restrained the migration and invasion of cancer cells by wound healing assay and transwell assays (Fig. 7C and D; Supplementary Figs. S7A and S7C). We inhibited HSP90AA1 using the HSP90a inhibitor TAS-116. We revealed that TAS-116 can dose dependently inhibit ovarian cancer cell migration and invasion (Fig. 7E–G; Supplementary Figs. S7D–S7F).
CT096,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Fibroblast,Fibroblast,myCAF,"POSTN, ACTA2, ITGB4, FAP",35986392,Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma,Advanced science,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,unfavorable progression-free survival and overall survival,,clinical samples,survival analysis,analysis,clinical data,"Not surprisingly, higher myCAF signals predicted unfavorable progression-free survival (Figure 6D, HR = 1.66, 95%CI = 1.03–2.67, p = 0.038) and overall survival (Fig ure 6E, HR = 1.69, 95%CI = 1.00-2.84, p = 0.05) for patients with CSCC."
CT097,Human,Lung,Lung,Lung cancer,Lung squamous cell carcinoma,Lung squamous cell carcinoma,Macrophage,Macrophages,SPP1+ macrophages,"CCL18, LPL, APOC1, NUPR1, SPP1",36008393,The heterogeneous immune landscape between lung adenocarcinoma and squamous carcinoma revealed by single-cell RNA sequencing.,Signal transduction and targeted therapy,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Survival analysis of each macrophage subcluster-specific markers based on the transcriptomic data from the TCGA database (513 LUAD and 501 LUSC) showed that increased AREG, IGHA1, MMP14, PLAU, S100A8 and decreased HPGD were inversely correlated with the overall survival of LUSC patients (Supplementary Fig. 6b). Among these genes, MMP14, PLAU, and IGHA1 were specifically upregulated in the SPP1-Mφ, suggesting the role of this cluster in the LUSC tumorigenesis"
CT098,Human,Stomach,Stomach,Gastric Cancer,Gastric Cancer,Gastric Carcinoma,Epithelial cell,epithelial cell,malignant epithelial cells,"CAPN8, CLDN4, CYP3A5, PHGR1, PLEC",36010627,Single-Cell and Bulk RNA Sequencing Reveal Malignant Epithelial Cell Heterogeneity and Prognosis Signatures in Gastric Carcinoma,Cells,2022,single cell transcriptome,,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,The ROC curve showed that the ten prognostic signatures performed well in predicting the OS of GC patients with an area under the ROC curve > 0.7 in the training cohort and around 0.6 in the test cohort
CT099,Human,Brain,Brain,Brain cancer,Glioblastoma,Glioblastoma,Macrophage,Macrophages,GPNMB-high macrophage,"CD163, CD68, GPNMB",36054938, Integrated single-cell transcriptomic analyses reveal that GPNMB-high macrophages promote PN-MES transition and impede T cell activation in GBM,EBioMedicine,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Moreover, GPNMB was also highly expressed in MES subtype patients (Figure 4d), and this higher expression predicted poor prognosis in both low- and high-grade gliomas (Figure 4e)."
CT100,Human,Brain,Brain,Brain cancer,Glioblastoma,Glioblastoma,Macrophage,Macrophages,GPNMB-high macrophage,"CD163, CD68, GPNMB",36054938, Integrated single-cell transcriptomic analyses reveal that GPNMB-high macrophages promote PN-MES transition and impede T cell activation in GBM,EBioMedicine,2022,single cell transcriptome,10× Genomics,biological phenotype,Immune Infiltration,T cell activation,,cell line,co-culture and flow cytometry,BioLegend,protein,"Our data showed that CD11c+ DCs induced robust T cell activation when compared with GPNMB+ macrophages or monocytes, evidenced by much higher levels of CD69, IFNγ and GZMB (Figure 6f). Similarly, according to the results of the T cell proliferation assay, CD11c+ DCs significantly enhance T cell proliferation, in contrast to monocytes or GPNMB+ macrophages (Figure 6g). "
CT101,Human,Brain,Brain,Brain cancer,Glioblastoma,Glioblastoma,Macrophage,Macrophages,GPNMB-high macrophage,"CD163, CD68, GPNMB",36054938, Integrated single-cell transcriptomic analyses reveal that GPNMB-high macrophages promote PN-MES transition and impede T cell activation in GBM,EBioMedicine,2022,single cell transcriptome,10× Genomics,biological phenotype,Immune Infiltration,T cell proliferation,,cell line,co-culture and flow cytometry,BioLegend,protein,"Our data showed that CD11c+ DCs induced robust T cell activation when compared with GPNMB+ macrophages or monocytes, evidenced by much higher levels of CD69, IFNγ and GZMB (Figure 6f). Similarly, according to the results of the T cell proliferation assay, CD11c+ DCs significantly enhance T cell proliferation, in contrast to monocytes or GPNMB+ macrophages (Figure 6g). "
CT102,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Monocyte,Monocyte,CD14 + CD16- monocyte(C11),"JCHAIN, IGHA1, IGKC, IGLC2, IGLC3",36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival "
CT103,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Monocyte,Monocyte,CD14 + CD16- monocyte(C13),"AQP8, SLC26A3, CLCA4, FABP1",36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival "
CT104,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Monocyte,Monocyte,CD14 + CD16 + monocyte(C5),"S100A9, S100A8, LYZ, CXCL8, AIF1",36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival "
CT105,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Erythrocyte,Erythrocyte,erythrocyte(C4),"OLFM4, HIST1H4C, TUBA1B, H2AFZ, TUBB4B",36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival "
CT106,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Fibroblast,Fibroblast,Fibroblast(C14),"CFD, DCN, MGP, IGFBP6, COL1A2",36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival "
CT107,Human,Skin,Skin,Melanoma,Melanoma,melanoma,Endothelial cell,Endothelial cell,Endothelial cell,,36131018,A cellular hierarchy in melanoma uncouples growth and metastasis,nature,2022,single cell transcriptome,10× Genomics,biological phenotype,Others,dedifferentiation,,cell line,co-culture,,,"After the co-culturing of melanoma and bEnd.3 cells(EC), we analysed the cellular composition using scRNA-seq (Extended Data Fig. 8e)...... These data indicated that ECs contribute to a niche environment that promotes dedifferentiation of melanoma cells and, thereby, stimulate melanoma growth."
CT108,Human,Skin,Skin,Melanoma,Melanoma,melanoma,Endothelial cell,Endothelial cell,Endothelial cell,,36131018,A cellular hierarchy in melanoma uncouples growth and metastasis,nature,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,tumor growth,,mouse,,,," Co-injection of ECs enhanced xenograft growth in a cell-dose-dependent manner (Fig. 3i) and, ultimately, decreased the overall survival."
CT109,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,osteoclast-like giant cells,"ACP5, CTSK, MMP9, CD68",36148946,Microenvironment components and spatially resolved single-cell transcriptome atlas of breast cancer metastatic axillary lymph nodes,Acta Biochimica et Biophysica Sinica,2022,single cell transcriptome,10× Genomics,biological phenotype,Spatial Layer,interaction,,clinical samples,Spatial RNA-seq,10× Genomics,protein,"Figure 6D shows the spatial orientation of various cell clusters, the linkage between cell clusters illustrates the spatial proximity of cells, suggesting that OGCs are located adjacent to cancer cells. Likewise, the spatial adjacency of macrophages and cancer cells indicates the dense interaction between the two cell clusters."
CT110,Human,Liver,Liver,Liver Cancer,Hepatocellular Carcinoma,Hepatocellular Carcinoma,T cell,Macrophage and Naive CD4+ T cell,Macrophage and Naive CD4+ T cell,"SPON2,RBM15B",36221095,Single-cell transcriptomics reveals the role of Macrophage-Naive CD4 + T cell interaction in the immunosuppressive microenvironment of primary liver carcinoma,Journal of Translational Medicine,2022,Single-cell transcriptomics,"Scanpy, CellPhoneDB, CellChat",clinical phenotype,Survival,Overall Survival,worse,clinical sample,Survival analysis,"ICGC-LIRI, GSE54236 datasets",clinical analysis,"""A significant survival difference (p < 0.01) was found between the high and low-score groups (Fig. 7A)."" ""Another two HCC datasets (ICGC-LIRI and GSE54236) also demonstrated that the patients with higher MNT score presented the worst prognosis (Additional file 1: Fig. S5)."""
CT111,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Neutrophil,Neutrophil,APOA2+  TANs,"APOA2, TTR, FABP1, LGALS3",36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,favourable prognosis,,clinical samples,survival analysis,analysis,clinical data,"Correspondingly, its human counterpart, Neu_07_APOA2, was associated with favourable prognosis."
CT112,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Neutrophil,Neutrophil,CCL4+ TANs,"CCL4, IRAK2",36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,biological phenotype,Immune Infiltration,chemokine-secreting,,clinical samples,co-culture,"American Type Culture Collection (ATCC), Liver Cancer Institute, Zhongshan Hospital, Fudan University (Shanghai, China).",protein,"CCL4+  TANs were predicted to recruit  macrophages through CCL4–CCR5 (Extended Data Fig. 8i). Consistently,  more autologous monocytes were recruited in the chemotactic assay  when co-cultured with TANs (Fig. 3h and Extended Data Fig. 8j)."
CT113,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Neutrophil,Neutrophil,CCL4+ TANs,"CCL4, IRAK2",36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,clinical phenotype,Tumor Growth,tumor promotion,,mice,Xenograft mouse model,"C57BL/6, Jackson Laboratory",protein,"Furthermore, we performed the Ly6G blockade thera peutically in pTMC mice with the luciferase reporter (pTMC-Luc)  (Fig. 4i). Ly6G blockade at 36 days after tumour formation (at 7 days)  showed substantial reductions in bioluminescence signal and tumour  burdens (Fig. 4j)."
CT114,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Neutrophil,Neutrophil,IFIT1+ TANs,"IFIT1, CD274",36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,biological phenotype,Immune Suppression,suppressive,,clinical samples,co-culture,"American Type Culture Collection (ATCC), Liver Cancer Institute, Zhongshan Hospital, Fudan University (Shanghai, China).",protein,"After adding anti-PD-L1 antibodies,  the decline in IFNγ in CD8+  T cells was reversed in the PBN-MHCC97H  group compared with in the controls (Fig. 3o and Extended Data  Fig. 9d), confirming that PD-L1 mediates the suppressive function of  TANs"
CT115,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,Neutrophil,Neutrophil,IFIT1+ TANs,"IFIT1, CD274",36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,clinical phenotype,Tumor Growth,tumor promotion,,mice,Xenograft mouse model,"C57BL/6, Jackson Laboratory",protein,"Furthermore, we performed the Ly6G blockade thera peutically in pTMC mice with the luciferase reporter (pTMC-Luc)  (Fig. 4i). Ly6G blockade at 36 days after tumour formation (at 7 days)  showed substantial reductions in bioluminescence signal and tumour  burdens (Fig. 4j)."
CT116,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer cell,Cancer cell,EMP1+ cell,EMP1,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,biological phenotype,Tumor Invasion,at tumour invasion fronts,,clinical samples,RNA fluorescence in situ hybridization,Bio-Techne，R&D Systems,spatial," RNA fluorescence in situ hybridization (FISH) analysis in human samples of patients with CRC also showed that EMP1 expression was elevated at tumour invasion fronts, whereas LGR5 marked the tumour cores in most cases "
CT117,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer cell,Cancer cell,EMP1+ cell,EMP1,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,clinical phenotype,Tumor Metastasis,haematogenous or lymphatic dissemination,,mouse,immunofluorescence,Abcam,protein," EMP1–TOMhigh cell clusters were often found in proximity to peripheral blood vessels in mouse primary CRCs, suggesting a connection with haematogenous or lymphatic dissemination"
CT118,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer cell,Cancer cell,EMP1+ cell,EMP1,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,clinical phenotype,Tumor Invasion,invasion,,mouse,immunofluorescence,Abcam,protein,"Inspection of tissue sections evidenced that cancer cells invading the muscular layer were strongly labelled by the fluorescent reporter (Fig. 3e). In particular, isolated tumour buds and larger clusters in contact with the stroma at the edges on invasion fronts exhibited the highest TOM expression"
CT119,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer cell,Cancer cell,EMP1+ cell,EMP1,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,clinical phenotype,Tumor Recurrence,recurrence,,clinical samples,relapse-free survival analysis,analysis,clinical data," EpiHR expression levels predicted recurrence with an accuracy equivalent to the subset of TME poor-prognosis genes (Fig. 1e: Kaplan–Meier survival curves showing relapse-free survival. Statistical analysis was performed using a two-sided Wald test. High (H), medium (M) and low (L) expression levels of All-HR, TME-HR and EpiHR gene signatures; LRT, likelihood-ratio test.)"
CT120,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma((subsequent invasive adenocarcinoma)),Fibroblast,Fibroblasts,cancer-associated fibroblast,Fib-1,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,biological phenotype,Spatial Layer,co-location,,clinical samples,,,spatial,"Hypergeometric distribution analysis showed that TM4SF1 + cancer cells (Epi-C0) and UBE2C + cancer cells (Epi-C6) were enriched in the cancer region, and CAFs (Fib-1) and Tregs (T/NK-C6: FOXP3) colocalized with the above cancer cell subclusters in the cancer region (Fig. 6d)."
CT121,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma((in situ and minimally invasive)),Mast cell,Mast cell,Mast cell,"TPSB2, CPA3",36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,biological phenotype,Spatial Layer,co-location,,clinical samples,,,spatial,"in the cancer region, TM4SF1 + cancer cells (Epi-C0) colocalized with the two subtypes of NK cells (T/NK-C4: GNLY and T/NK-C5: NKG7) and mast cells (Mye-C0: TPSB2, Mye-C9: CPA3) (Supplementary Fig. 11c)."
CT122,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma((in situ and minimally invasive)),Natural Killer cell,NK cell,NK cell,"GNLY, NKG7",36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,biological phenotype,Spatial Layer,co-location,,clinical samples,,,spatial,"in the cancer region, TM4SF1 + cancer cells (Epi-C0) colocalized with the two subtypes of NK cells (T/NK-C4: GNLY and T/NK-C5: NKG7) and mast cells (Mye-C0: TPSB2, Mye-C9: CPA3) (Supplementary Fig. 11c)."
CT123,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma((subsequent invasive adenocarcinoma)),T cell,T cell,Treg,FOXP3,36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,spatial transciptome,10× Genomics,biological phenotype,Spatial Layer,co-location,,clinical samples,,,spatial,"Hypergeometric distribution analysis showed that TM4SF1 + cancer cells (Epi-C0) and UBE2C + cancer cells (Epi-C6) were enriched in the cancer region, and CAFs (Fib-1) and Tregs (T/NK-C6: FOXP3) colocalized with the above cancer cell subclusters in the cancer region (Fig. 6d)."
CT124,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma,Cancer cell,Cancer cell,UBE2C + cancer cell,"EPCAM, SCGB1A1, UBE2C",36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Invasion,invasion,,cell line(PC-9),Transwell assay,,,"Our in vitro experiments confirmed that UBE2C mediates the malignant progression of LUAD by affecting LUAD proliferation and invasion (Fig. 3c, d)."
CT125,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma,Cancer cell,Cancer cell,UBE2C + cancer cell,"EPCAM, SCGB1A1, UBE3C",36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,proliferation,,cell line(PC-9),Cell index assay,,,"Our in vitro experiments confirmed that UBE2C mediates the malignant progression of LUAD by affecting LUAD proliferation and invasion (Fig. 3c, d)."
CT126,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma,Cancer cell,Cancer cell,UBE2C + cancer cell,"EPCAM, SCGB1A1, UBE2C",36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"From the TCGA-LUAD dataset (402 LUAD cases), patients with high UBE2C expression had poorer progression-free survival (P = 0.025) and overall survival (P = 0.0013), as shown in Fig. 3b."
CT127,Human,Lung,Lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma,Cancer cell,Cancer cell,UBE2C + cancer cell,"EPCAM, SCGB1A1, UBE4C",36434043,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,Experimental & molecular medicine,2022,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,tumor growth,,mouse,,,,"Furthermore, in vivo experiments showed that UBE2C silencing significantly attenuated the growth of subcutaneous tumors (Fig. 3e–g)."
CT128,Human,Brain,Brain,Brain cancer,Glioblastoma,Glioblastoma,T cell,T cell,T cell,,36539501,A single-cell atlas of glioblastoma evolution under therapy reveals cell-intrinsic and cell-extrinsic therapeutic targets,Nature cancer,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,By contrast we found that T-cell abundance was correlated with a significant increase in survival (Fig. 5h). This seems to be driven by a cohort of outlier recurrent cases whose T-cell abundances were two to eightfold higher than average
